IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
042761-27032023,2023-03-27,2023,14,LEWISHAM,536250,173550,381.0,Forest Hill,inf,inf,51.444558810931774,-0.04084441766467589,Forest Hill,51.442526,-0.04486797,35.15,74952.0,9196.60724664435,359.73055143019167,6-9min
097411-01072023,2023-07-01,2023,21,CROYDON,534550,168650,374.0,Beckenham,51.401167487696846,-0.06784448950824641,51.40093121521862,-0.06714998311185116,Beckenham,51.40804499,-0.0341093,150.15,82458.0,12792.281250373548,2466.9820698905237,6-9min
189203-02122023,2023-12-02,2023,12,BARKING AND DAGENHAM,549950,185750,274.0,Dagenham,inf,inf,51.5507186178421,0.16132591343685646,Dagenham,51.559507,0.15678,36.09,109267.0,20534.625316519363,1027.3617986026882,3-6min
194260-10122023,2023-12-10,2023,20,ISLINGTON,531250,185550,182.0,Holloway,inf,inf,51.5535773819667,-0.10828819059498673,Holloway,51.561766,-0.116461,14.86,108384.0,6121.146116041655,1072.9843744536136,3-6min
147797-23092023,2023-09-23,2023,18,SUTTON,526050,163650,272.0,Sutton,inf,inf,51.35794616432145,-0.19104741205576778,Sutton,51.36904525,-0.21119305,43.85,104758.0,16433.216549540477,1869.0890552323128,3-6min
146150-20092023,2023-09-20,2023,23,BARNET,524050,188450,546.0,Hendon,51.58094280647468,-0.21160662797774632,51.581267189341716,-0.2110598559384674,Hendon,51.58902,-0.22862,86.74,97160.0,11488.851940500695,1484.4852291302284,9-12min
124318-16082023,2023-08-16,2023,23,HAMMERSMITH AND FULHAM,522150,181350,369.0,Hammersmith,51.51763184361217,-0.24043505658190026,51.517873072612005,-0.24093022620268836,Hammersmith,51.4961116,-0.2242032,16.4,91648.0,6811.369293067246,2645.721930866535,6-9min
131774-29082023,2023-08-29,2023,20,HOUNSLOW,519650,178050,471.0,Acton,inf,inf,51.488749216573176,-0.2780615819983691,Acton,51.50715,-0.27691,55.53,91532.0,10349.6321961511,2048.791902777174,6-9min
137812-08092023,2023-09-08,2023,9,WESTMINSTER,525150,182250,340.0,North Kensington,inf,inf,51.525305320982774,-0.19739670592858224,North Kensington,51.5218389,-0.2148304,12.13,47980.0,6264.950872916909,1269.9573602440012,3-6min
160695-15102023,2023-10-15,2023,9,BARNET,522050,191350,267.0,Mill Hill,inf,inf,51.607765915139126,-0.2389020406091184,Mill Hill,51.61522,-0.24342,86.74,97160.0,14457.554325991356,886.427011425685,3-6min
186453-27112023,2023-11-27,2023,20,BARKING AND DAGENHAM,545450,182950,171.0,Barking,51.5270238180186,0.09483718352267625,51.526736521855526,0.0953141654985975,Barking,51.52982,0.088809,36.09,109267.0,15193.759829792516,522.9306327220737,0-3min
042800-27032023,2023-03-27,2023,15,EALING,517650,181650,391.0,Ealing,inf,inf,51.52152353369545,-0.3056544394557966,Ealing,51.51217,-0.3137,55.53,91532.0,12909.930286465416,1181.0456338654853,6-9min
008783-19012023,2023-01-19,2023,10,CAMDEN,531150,182050,288.0,Soho,51.52239503877965,-0.11074833744056897,51.52214782381126,-0.11103245220831723,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,1833.89696228942,3-6min
